dt,LandAverageTemperature
1/1/2010,3.737
2/1/2010,4.399
3/1/2010,6.738
4/1/2010,9.671
5/1/2010,12.406
6/1/2010,14.421
7/1/2010,15.213
8/1/2010,14.768
9/1/2010,12.863
10/1/2010,10.442
11/1/2010,7.487
12/1/2010,4.292
1/1/2011,3.282
2/1/2011,3.743
3/1/2011,6.101
4/1/2011,9.483
5/1/2011,11.986
6/1/2011,14.37
7/1/2011,15.482
8/1/2011,15.012
9/1/2011,12.912
10/1/2011,10.352
11/1/2011,6.814
12/1/2011,4.655
1/1/2012,3.157
2/1/2012,3.628
3/1/2012,6.023
4/1/2012,9.676
5/1/2012,12.59
6/1/2012,14.492
7/1/2012,15.076
8/1/2012,14.72
9/1/2012,13.04
10/1/2012,10.428
11/1/2012,7.156
12/1/2012,4.102
1/1/2013,3.685
2/1/2013,4.222
3/1/2013,6.261
4/1/2013,9.044
5/1/2013,12.195
6/1/2013,14.568
7/1/2013,15.003
8/1/2013,14.742
9/1/2013,13.154
10/1/2013,10.256
11/1/2013,7.424
12/1/2013,4.724
1/1/2014,3.732
2/1/2014,3.5
3/1/2014,6.378
4/1/2014,9.589
5/1/2014,12.582
6/1/2014,14.335
7/1/2014,14.873
8/1/2014,14.875
9/1/2014,13.091
10/1/2014,10.33
11/1/2014,6.713
12/1/2014,4.85
